StudentID,Revenue_sum,InvoiceNo_nunique,avg_order_value,days_active,Quantity_sum,ClusterID,Recommendation,Recommendation_Details
STU0001,312.6458966531098,134,90.37031441217223,128,373,0,Foundational Learning Path,"{""primary_focus"": ""Build strong fundamentals"", ""suggested_courses"": [""Introduction to Core Concepts"", ""Basic Skills Workshop""], ""engagement_strategy"": ""Weekly check-ins and progress tracking"", ""resources"": ""Starter course bundle with mentor support"", ""timeline"": ""3-6 months""}"
STU0002,120.61498716354942,21,266.3965609723486,37,893,0,Foundational Learning Path,"{""primary_focus"": ""Build strong fundamentals"", ""suggested_courses"": [""Introduction to Core Concepts"", ""Basic Skills Workshop""], ""engagement_strategy"": ""Weekly check-ins and progress tracking"", ""resources"": ""Starter course bundle with mentor support"", ""timeline"": ""3-6 months""}"
STU0003,392.1062335976148,108,131.94947476377337,211,1758,1,Intermediate Skill Development,"{""primary_focus"": ""Expand knowledge and apply skills"", ""suggested_courses"": [""Advanced Techniques"", ""Project-Based Learning""], ""engagement_strategy"": ""Bi-weekly reviews and peer collaboration"", ""resources"": ""Intermediate course package with community access"", ""timeline"": ""4-8 months""}"
STU0004,1457.5974610180183,141,299.02660026885553,48,179,0,Foundational Learning Path,"{""primary_focus"": ""Build strong fundamentals"", ""suggested_courses"": [""Introduction to Core Concepts"", ""Basic Skills Workshop""], ""engagement_strategy"": ""Weekly check-ins and progress tracking"", ""resources"": ""Starter course bundle with mentor support"", ""timeline"": ""3-6 months""}"
STU0005,104.45641864056283,47,434.30649055472185,282,1484,0,Foundational Learning Path,"{""primary_focus"": ""Build strong fundamentals"", ""suggested_courses"": [""Introduction to Core Concepts"", ""Basic Skills Workshop""], ""engagement_strategy"": ""Weekly check-ins and progress tracking"", ""resources"": ""Starter course bundle with mentor support"", ""timeline"": ""3-6 months""}"
STU0006,104.45899108507352,43,442.5727849464401,240,144,1,Intermediate Skill Development,"{""primary_focus"": ""Expand knowledge and apply skills"", ""suggested_courses"": [""Advanced Techniques"", ""Project-Based Learning""], ""engagement_strategy"": ""Bi-weekly reviews and peer collaboration"", ""resources"": ""Intermediate course package with community access"", ""timeline"": ""4-8 months""}"
STU0007,1585.7602483342994,30,133.6088929673978,95,676,0,Foundational Learning Path,"{""primary_focus"": ""Build strong fundamentals"", ""suggested_courses"": [""Introduction to Core Concepts"", ""Basic Skills Workshop""], ""engagement_strategy"": ""Weekly check-ins and progress tracking"", ""resources"": ""Starter course bundle with mentor support"", ""timeline"": ""3-6 months""}"
STU0008,469.257704333039,103,455.69297904730223,135,804,1,Intermediate Skill Development,"{""primary_focus"": ""Expand knowledge and apply skills"", ""suggested_courses"": [""Advanced Techniques"", ""Project-Based Learning""], ""engagement_strategy"": ""Bi-weekly reviews and peer collaboration"", ""resources"": ""Intermediate course package with community access"", ""timeline"": ""4-8 months""}"
STU0009,73.39005390795447,54,304.1065946342165,309,1365,0,Foundational Learning Path,"{""primary_focus"": ""Build strong fundamentals"", ""suggested_courses"": [""Introduction to Core Concepts"", ""Basic Skills Workshop""], ""engagement_strategy"": ""Weekly check-ins and progress tracking"", ""resources"": ""Starter course bundle with mentor support"", ""timeline"": ""3-6 months""}"
STU0010,334.9027078712836,17,188.1047584161505,34,843,0,Foundational Learning Path,"{""primary_focus"": ""Build strong fundamentals"", ""suggested_courses"": [""Introduction to Core Concepts"", ""Basic Skills Workshop""], ""engagement_strategy"": ""Weekly check-ins and progress tracking"", ""resources"": ""Starter course bundle with mentor support"", ""timeline"": ""3-6 months""}"
STU0011,74.05984338517554,64,359.92697387993593,154,1884,0,Foundational Learning Path,"{""primary_focus"": ""Build strong fundamentals"", ""suggested_courses"": [""Introduction to Core Concepts"", ""Basic Skills Workshop""], ""engagement_strategy"": ""Weekly check-ins and progress tracking"", ""resources"": ""Starter course bundle with mentor support"", ""timeline"": ""3-6 months""}"
